rooms,floor,totfloors,m2,price
3,5,9,64.00,3500000
2,3,10,52.00,2600000
0,5,9,31.00,1830000
2,5,5,50.00,2750000
3,7,9,58.00,3100000
3,6,10,72.00,4500000
1,7,10,33.00,2150000
1,3,5,32.00,2280000
0,6,17,19.00,1320000
3,10,11,90.00,5650000
1,24,25,41.00,1530000
2,3,5,46.00,2900000
2,7,9,51.00,3200000
3,3,5,59.00,2750000
3,1,5,62.00,3000000
2,3,5,43.00,2700000
1,15,15,40.00,2900000
0,2,9,40.00,600000
1,12,14,40.00,2350000
1,1,2,41.00,1850000
2,6,12,74.00,4150000
3,5,5,61.00,3500000
1,15,15,39.00,3200000
0,4,9,24.00,1430000
3,2,9,60.00,3000000
3,4,12,74.00,4600000
2,10,17,69.00,4800000
2,15,15,70.00,6500000
1,5,10,33.00,2350000
2,5,5,45.00,2500000
1,7,11,42.40,2900000
3,3,9,64.00,3080000
2,6,9,50.00,3200000
1,5,5,31.00,2200000
1,6,14,55.00,3245000
2,11,17,56.00,3800000
1,4,9,31.00,2250000
1,3,5,11.00,870000
2,17,19,83.60,3800000
3,4,10,94.00,5500000
1,4,18,40.00,3000000
0,3,5,18.00,1200000
1,1,14,33.00,2000000
3,5,14,70.00,3800000
1,3,10,39.00,2650000
2,2,5,40.00,2500000
1,1,1,26.00,1500000
3,10,10,64.00,3395000
3,1,1,75.00,3000000
3,4,4,75.10,5700000
3,10,10,64.00,3500000
1,7,10,38.00,2400000
2,2,5,34.00,1200000
2,2,2,42.00,1500000
2,2,5,48.00,2180000
3,10,23,102.00,10800000
2,7,11,52.00,3240000
4,2,5,60.00,2610000
1,2,9,37.00,2070000
3,6,10,63.00,3510000
3,5,5,50.00,2250000
2,8,10,56.00,3650000
1,2,4,37.00,1280000
2,4,5,92.00,2500000
3,3,9,62.00,3700000
1,16,16,45.00,3100000
0,8,9,14.00,850000
2,10,21,50.00,2550000
2,5,5,43.00,3470000
3,7,9,65.00,3600000
4,8,12,105.00,7500000
1,10,10,47.00,4200000
1,19,22,50.00,4600000
1,4,9,40.00,2300000
2,1,5,47.00,2800000
2,2,5,44.00,2400000
1,10,10,37.00,2250000
1,5,5,14.00,1000000
0,1,5,14.00,1050000
2,8,9,52.00,3150000
2,7,17,60.00,4800000
2,6,10,58.00,3450000
2,2,4,38.00,2300000
2,7,19,71.00,4600000
1,10,20,49.00,4900000
1,3,9,40.00,2190000
2,8,10,84.00,7700000
1,4,5,20.20,1400000
1,8,14,46.00,2680000
1,10,22,40.00,2200000
3,2,2,40.00,1800000
1,11,13,46.00,3100000
2,12,18,56.00,3850000
1,1,5,32.00,2300000
0,5,9,36.00,1500000
2,7,11,52.00,3600000
1,6,10,38.00,2450000
2,12,23,60.00,3600000
2,7,16,54.00,3550000
1,2,9,30.00,1900000
3,5,16,70.00,4000000
0,2,5,17.00,1050000
1,1,2,29.00,1550000
2,2,5,44.00,2500000
2,9,10,54.00,3550000
1,6,7,33.00,1900000
2,4,10,54.00,3200000
4,19,19,164.00,10900000
1,8,9,34.00,2100000
1,7,9,30.00,2050000
1,4,9,40.00,1900000
2,7,9,46.00,2800000
1,4,9,40.00,2280000
3,8,9,64.00,3200000
1,1,4,44.00,1590000
1,16,23,41.00,2100000
2,2,10,54.00,3400000
3,2,10,84.00,3990000
2,3,9,48.00,3100000
3,2,5,61.00,4500000
1,10,26,37.00,1750000
4,6,10,85.00,5000000
3,7,9,65.00,3350000
1,5,10,44.00,2600000
3,8,9,62.00,2900000
1,5,10,33.00,3000000
2,1,9,52.00,2650000
3,2,5,60.00,4800000
1,3,9,29.00,1200000
1,9,10,39.00,2800000
1,2,9,36.00,2450000
2,2,6,60.00,4550000
3,5,8,84.00,4028000
4,3,8,135.00,14400000
1,5,25,44.00,2200000
2,4,21,77.00,5650000
4,2,2,55.00,2800000
1,2,16,48.00,1950000
1,4,5,28.00,1700000
1,10,17,49.00,3200000
1,10,15,50.00,2900000
1,7,25,39.00,2440000
1,2,6,31.00,1820000
2,4,5,43.00,3300000
2,4,10,54.00,2800000
2,5,5,43.00,2700000
1,3,3,35.00,1800000
3,5,17,70.00,4100000
0,3,5,20.00,870000
2,1,2,40.00,2000000
4,2,9,72.00,4000000
2,10,17,76.00,4600000
2,4,5,46.00,2700000
2,9,23,77.00,5800000
1,13,14,40.00,2550000
1,3,5,35.00,2500000
1,15,17,41.00,2750000
1,4,5,31.00,1850000
2,4,5,96.00,5108000
2,22,27,78.00,2788000
1,4,5,27.00,1900000
1,3,10,40.00,2700000
0,3,9,24.00,1400000
0,1,9,31.00,1670000
2,1,5,44.00,2500000
2,2,9,48.00,3200000
1,4,15,50.00,3199000
1,3,5,30.00,1600000
2,4,10,58.00,3500000
2,3,9,56.00,2200000
3,7,10,64.00,3700000
1,2,18,37.00,3200000
0,1,3,25.00,1500000
3,2,10,65.00,3700000
2,2,3,45.00,1790000
2,5,9,52.00,3500000
1,1,1,25.00,1800000
2,7,16,60.00,5700000
3,11,25,82.00,4100000
2,9,9,54.00,2900000
1,1,1,20.00,1350000
1,2,4,22.00,1180000
2,4,5,46.00,2550000
1,4,5,33.00,1750000
2,1,5,45.00,2750000
2,3,10,56.00,3470000
1,6,9,38.00,1538000
2,8,10,58.00,2950000
2,9,13,53.00,5200000
2,9,11,60.00,3750000
3,17,18,90.00,6600000
1,4,5,31.00,1800000
2,7,9,43.00,3600000
2,1,5,46.00,2180000
2,2,17,60.00,4000000
3,4,5,60.00,2550000
3,1,5,58.00,3400000
3,3,5,66.00,3780000
3,3,17,67.00,3650000
1,9,10,41.00,2142000
1,1,2,26.00,1700000
1,2,6,35.00,2000000
1,6,10,33.00,2550000
2,9,14,58.00,3500000
4,5,5,61.00,3500000
1,3,19,38.00,2700000
3,3,5,59.00,3500000
1,2,5,31.00,1860000
1,8,10,37.00,2950000
2,4,5,46.00,2300000
2,3,10,52.00,2600000
3,3,6,94.00,8300000
0,3,5,15.00,1300000
2,5,5,42.00,2300000
0,7,9,22.00,1650000
3,2,5,70.00,4250000
1,3,3,18.00,1320000
4,4,5,96.00,4500000
3,3,5,52.00,2970000
3,13,14,100.00,6900000
1,8,9,38.70,2100000
1,4,5,31.00,1700000
1,5,5,31.00,2250000
1,7,10,13.00,1000000
3,8,10,88.00,5300000
0,8,9,24.00,1600000
2,2,9,44.00,3050000
2,2,2,48.00,2100000
0,1,9,22.00,1470000
2,5,9,40.00,1700000
2,8,10,55.00,3260000
3,3,10,102.00,5157000
1,2,4,32.00,2390000
1,4,5,44.00,3000000
1,13,14,42.00,2800000
2,4,9,54.00,2700000
1,3,5,35.00,2100000
1,2,5,31.00,2300000
2,1,2,30.00,1400000
1,2,4,33.00,1400000
0,4,5,16.00,1350000
1,2,9,32.00,1750000
3,8,20,118.00,8000000
1,14,28,37.00,1750000
4,3,5,178.00,12000000
1,8,9,34.00,2500000
4,6,10,84.00,5500000
3,1,2,46.00,2550000
1,18,22,27.00,1600000
0,4,9,30.00,1700000
0,4,9,31.00,1700000
1,7,9,40.00,2257000
3,6,14,115.00,5800000
3,23,25,76.00,4100000
2,14,15,53.00,5500000
1,13,16,27.00,2000000
1,6,7,23.00,1300000
1,7,18,45.00,1890000
1,5,23,48.00,2250000
1,4,5,31.00,2000000
1,3,5,36.00,1870000
2,4,5,60.00,4100000
3,2,10,65.00,3400000
3,5,5,58.00,3100000
2,8,9,52.00,3200000
2,2,5,44.00,2299000
1,6,18,45.00,3500000
3,17,19,75.00,4800000
2,1,9,50.00,2600000
1,1,9,35.00,2050000
1,12,15,30.00,2100000
2,4,5,45.00,2700000
1,4,5,28.00,1800000
1,2,17,45.00,3600000
1,7,10,43.00,3650000
0,2,2,70.00,1270000
1,11,28,36.00,2000000
2,3,9,43.00,2450000
1,2,4,25.00,1700000
2,11,17,62.00,3850000
3,7,13,83.00,3999000
1,1,6,24.00,1350000
1,10,16,26.00,2100000
3,6,9,64.00,4260000
1,15,22,42.00,2600000
2,3,4,55.00,4000000
1,4,5,32.00,2800000
0,8,9,38.00,700000
0,1,3,11.00,820000
1,6,17,36.00,2300000
1,2,9,38.00,2230000
2,1,5,48.00,2600000
3,5,5,64.00,4800000
3,2,10,84.00,4550000
0,9,9,24.00,1490000
1,12,18,58.00,3300000
1,2,17,40.00,2400000
1,1,5,33.00,2400000
3,1,14,76.00,3500000
1,11,16,53.00,4300000
2,3,5,46.00,2809000
3,4,5,56.00,3200000
1,2,5,30.00,2000000
3,17,19,70.00,3900000
3,3,3,80.00,4000000
1,2,7,26.00,1430000
2,2,4,45.00,2200000
1,8,17,42.00,6500000
2,12,18,75.00,5000000
1,8,9,32.00,2000000
1,3,9,34.00,2450000
3,3,9,60.00,3500000
1,6,10,38.00,2100000
1,11,16,27.00,2050000
3,10,23,106.00,6000000
1,3,5,31.70,2200000
1,5,10,30.00,1850000
2,19,20,84.00,7400000
3,1,2,74.00,3900000
2,1,10,55.00,3300000
0,2,2,17.00,900000
1,13,13,26.00,2000000
2,1,1,45.00,1500000
1,6,25,37.00,1850000
1,4,5,38.00,2400000
4,11,18,153.00,11000000
2,2,5,46.00,2250000
2,17,23,70.00,4000000
1,3,5,33.00,2000000
1,2,3,26.00,1500000
1,5,6,35.00,1797000
3,6,18,68.00,4000000
2,12,12,52.00,2800000
1,2,23,32.00,1700000
1,4,5,32.00,2270000
3,8,17,115.00,9000000
3,1,5,75.00,3500000
5,3,5,330.00,35000000
3,9,23,89.00,5500000
3,3,9,63.00,3750000
0,4,4,12.00,750000
1,7,8,25.00,1645000
1,11,17,43.00,2650000
2,7,17,56.00,4300000
1,2,2,36.00,1650000
2,2,5,43.00,2385000
3,5,10,116.00,6500000
2,9,9,45.00,2600000
1,6,15,48.00,4800000
1,7,9,38.00,2150000
3,4,5,58.00,2850000
2,1,5,46.00,3000000
1,2,4,40.00,2300000
3,1,4,90.00,5800000
2,2,9,52.00,2750000
3,7,9,64.00,3500000
2,8,9,55.00,4200000
1,10,23,50.00,3000000
1,4,6,22.00,1400000
1,10,20,50.00,2850000
0,2,5,31.00,2000000
2,5,5,45.00,2500000
0,5,9,23.00,1550000
2,2,2,40.00,2100000
1,12,23,55.00,2670000
2,5,10,62.00,3550000
1,10,10,37.00,2590000
1,4,5,33.00,1900000
1,5,5,32.00,1650000
1,16,28,42.00,1615000
1,3,12,41.00,3000000
2,11,14,50.00,3000000
2,10,26,56.00,2900000
1,1,9,38.00,2300000
2,4,5,45.00,2790000
3,14,17,71.00,4350000
1,2,9,40.00,2200000
2,3,5,44.00,2350000
2,13,14,81.00,5400000
3,10,10,81.00,4350000
2,1,5,47.00,2550000
3,6,18,83.00,4365000
2,5,5,48.00,2780000
3,6,18,130.00,14200000
2,4,9,51.00,3200000
2,2,5,52.00,5083000
0,2,2,100.00,850000
2,16,26,53.00,2385000
1,17,23,40.00,2600000
3,6,14,64.00,4250000
0,8,9,31.00,1600000
1,10,11,50.00,4200000
3,3,5,82.00,4500000
2,4,9,43.00,2900000
