rooms,floor,totfloors,lon,lat,m2,price
3,5,9,39.706452,47.295778,64.00,3500000
0,5,9,39.720519,47.286451,31.00,1830000
3,6,10,39.652328,47.259519,72.00,4500000
1,12,14,39.780464,47.242888,40.00,2350000
3,5,5,39.709273,47.229409,61.00,3500000
1,15,15,39.705643,47.278951,39.00,3200000
2,15,15,39.832126,47.24205,70.00,6500000
1,7,11,39.735836,47.277055,42.40,2900000
2,6,9,39.619549,47.206764,50.00,3200000
1,6,14,39.725397,47.250803,55.00,3245000
2,11,17,39.686878,47.290858,56.00,3800000
1,3,5,39.716037,47.229354,11.00,870000
2,17,19,39.711967,47.29433,83.60,3800000
3,4,10,39.717223,47.300538,94.00,5500000
1,4,18,39.608544,47.230498,40.00,3000000
0,3,5,39.773152,47.240624,18.00,1200000
1,1,14,39.697091,47.291445,33.00,2000000
3,1,1,39.739914,47.223345,75.00,3000000
1,7,10,39.625217,47.222298,38.00,2400000
1,19,22,39.704817,47.23417,50.00,4600000
2,7,17,39.619746,47.216184,60.00,4800000
2,6,10,39.759758,47.287606,58.00,3450000
1,4,5,39.627292,47.211716,20.20,1400000
1,11,13,39.648897,47.214507,46.00,3100000
2,12,18,39.592959,47.23286,56.00,3850000
0,5,9,39.746005,47.287429,36.00,1500000
3,5,16,39.628316,47.22575,70.00,4000000
3,8,9,39.711914,47.29796,64.00,3200000
3,2,10,39.666297,47.244423,84.00,3990000
3,7,9,39.712399,47.293535,65.00,3350000
1,5,10,39.82237,47.243591,33.00,3000000
2,1,2,39.75249,47.233435,40.00,2000000
4,2,9,39.61415,47.202882,72.00,4000000
2,10,17,39.616854,47.216386,76.00,4600000
2,4,5,39.802527,47.259348,46.00,2700000
2,22,27,39.625343,47.195456,78.00,2788000
2,4,10,39.758931,47.285773,58.00,3500000
2,9,9,39.720142,47.283242,54.00,2900000
1,2,4,39.657413,47.191488,22.00,1180000
2,3,10,39.744657,47.299139,56.00,3470000
3,17,18,39.616854,47.216386,90.00,6600000
1,4,5,39.671328,47.222464,31.00,1800000
2,1,5,39.814025,47.264448,46.00,2180000
2,2,17,39.614878,47.231471,60.00,4000000
3,3,6,39.760728,47.234035,94.00,8300000
2,2,2,39.695178,47.234782,48.00,2100000
2,5,9,39.724122,47.299475,40.00,1700000
2,4,9,39.716935,47.29994,54.00,2700000
1,2,5,39.621238,47.203042,31.00,2300000
2,1,2,39.681937,47.218094,30.00,1400000
3,8,20,39.726673,47.23294,118.00,8000000
1,7,9,39.627014,47.202821,40.00,2257000
3,6,14,39.728838,47.300985,115.00,5800000
1,5,23,39.628388,47.199435,48.00,2250000
1,6,18,39.691917,47.225303,45.00,3500000
2,1,9,39.704898,47.297477,50.00,2600000
1,1,9,39.74737,47.299952,35.00,2050000
0,1,3,39.711384,47.215609,11.00,820000
2,1,5,39.664114,47.211557,48.00,2600000
0,9,9,39.625298,47.213399,24.00,1490000
1,11,16,39.707467,47.25029,53.00,4300000
1,3,5,39.662084,47.215003,31.70,2200000
3,1,2,39.764106,47.228424,74.00,3900000
1,13,13,39.782773,47.242631,26.00,2000000
1,6,25,39.630194,47.200617,37.00,1850000
4,11,18,39.701385,47.226239,153.00,11000000
1,2,23,39.622441,47.216062,32.00,1700000
5,3,5,39.736842,47.2307,330.00,35000000
3,3,9,39.83395,47.238838,63.00,3750000
0,4,4,39.767681,47.253507,12.00,750000
1,10,23,39.702329,47.282038,50.00,3000000
1,4,6,39.69587,47.265114,22.00,1400000
1,10,20,39.595636,47.232817,50.00,2850000
0,2,5,39.712929,47.258889,31.00,2000000
0,5,9,39.616845,47.232634,23.00,1550000
1,12,23,39.622441,47.216062,55.00,2670000
2,5,10,39.758931,47.285773,62.00,3550000
1,10,10,39.764474,47.285742,37.00,2590000
2,11,14,39.716396,47.286078,50.00,3000000
2,10,26,39.677688,47.197862,56.00,2900000
1,1,9,39.711527,47.286879,38.00,2300000
3,14,17,39.718462,47.300618,71.00,4350000
2,1,5,39.618237,47.201897,47.00,2550000
2,2,5,39.695232,47.221123,52.00,5083000
0,2,2,39.764079,47.235247,100.00,850000
1,17,23,39.702508,47.281249,40.00,2600000
2,4,9,39.753757,47.285883,43.00,2900000
1,16,20,39.66636,47.226319,25.00,2070000
3,10,18,39.726673,47.23294,118.00,8000000
2,12,13,39.711671,47.282484,60.00,2690000
1,18,23,39.702329,47.282038,36.00,1920000
2,5,5,39.707548,47.280027,44.00,2450000
3,9,11,39.738917,47.23335,80.00,6500000
1,5,5,39.730778,47.249348,32.00,1900000
2,1,3,39.797442,47.252534,45.00,1850000
2,6,10,39.757907,47.287692,60.00,3750000
0,3,3,39.726287,47.218889,21.00,950000
2,5,5,39.704026,47.23472,62.00,3600000
1,2,16,39.697981,47.292502,35.00,2100000
2,9,22,39.687228,47.237682,73.00,6800000
2,3,5,34.063083,47.664041,41.00,1900000
3,15,23,39.702508,47.281249,137.00,4700000
4,8,9,39.724517,47.226197,170.00,30000000
2,7,25,39.622441,47.216062,56.00,4200000
1,5,9,39.617016,47.233166,31.00,1600000
2,4,9,39.701071,47.289024,54.00,3100000
2,17,19,39.827284,47.239101,83.00,7500000
1,16,26,39.621992,47.194029,37.00,2300000
2,2,20,39.600433,47.234004,50.00,3150000
0,2,5,39.714177,47.26402,17.00,1000000
1,3,5,39.739878,47.27752,32.00,2150000
0,4,4,39.698403,47.248822,17.00,1100000
2,3,5,39.644279,47.212891,47.00,2800000
3,5,17,39.762561,47.228559,124.00,9500000
2,5,9,39.726071,47.300221,53.00,2450000
2,2,5,39.64666,47.207382,41.00,1900000
